제목,말머리,내용,글쓴이,추천수,조회수,날짜,링크,내용_분류,내용_score_여성/가족,내용_score_남성,내용_score_성소수자,내용_score_인종/국적,내용_score_연령,내용_score_지역,내용_score_종교,내용_score_기타 혐오,내용_score_악플/욕설,내용_score_clean,내용_score_장애
갈틱폰 ㄱㄱ,,"https://garticphone.com/ko/?c=00b1038db6
 Gartic Phone - 옮겨 말하기
온라인 게임, 옮겨 말하기! 지금 무료로 이 인기 게임을 플레이하세요.
garticphone.com","ㅇㅇ(211.114) 2024.01.02 15:31:13
조회 239 추천 0 댓글 1",추천 0,조회 239,2024.01.02 15:31:13,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=82&page=1,기타 혐오,0.35608014464378357,0.35754305124282837,0.5894883871078491,0.4426884651184082,0.28977444767951965,0.46574413776397705,0.31729909777641296,0.5913921594619751,0.5247518420219421,0.4787576198577881,0.4222962260246277
영생고에서 왔습니다.,,안녕하세요,"ㅇㅇ(119.71) 2023.12.17 03:49:25
조회 324 추천 2 댓글 1",추천 2,조회 324,2023.12.17 03:49:25,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=81&page=1,지역,0.37438780069351196,0.455655962228775,0.455173134803772,0.5270454287528992,0.3996534049510956,0.6494961380958557,0.5063030123710632,0.5835219025611877,0.5077176690101624,0.34762176871299744,0.49361592531204224
인하대 면접보러 오는 놈 있냐?,,"학종면접조교 뽑는대서 신청해놨다. 나 찾으면 싸이버거 사줌 ㅇ
- dc official App","수갤러(115.138) 2023.09.19 17:56:51
조회 276 추천 0 댓글 0",추천 0,조회 276,2023.09.19 17:56:51,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=80&page=1,악플/욕설,0.39532729983329773,0.46603718400001526,0.5490002036094666,0.4231523275375366,0.30697014927864075,0.4252051115036011,0.3196655809879303,0.5214998722076416,0.5513840913772583,0.4673093259334564,0.3671220541000366
수성고 내신 꿀팁,,"그런건없다 게이야 ㅋㅋㅋ
- dc official App","ㅇㅇ(182.230) 2023.08.08 16:12:43
조회 1503 추천 13 댓글 1",추천 13,조회 1503,2023.08.08 16:12:43,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=79&page=1,기타 혐오,0.3761471211910248,0.44224780797958374,0.44456470012664795,0.43431442975997925,0.37953174114227295,0.5496989488601685,0.41822606325149536,0.5975626111030579,0.4753669202327728,0.42051422595977783,0.4391368329524994
너네망한거같으면 지구과학II 응시해라,,"올해는찍어도3보장이다

그냥. 공부하기싫고
날먹하고싶으면 골라..

물화생보다 장점: 한국에 지2를
할줄아는사람이 별로안많음

설령할줄알더라도 휘발성이
가장강해 까먹음","권남몬 2023.06.14 14:13:18
조회 507 추천 0 댓글 1",추천 0,조회 507,2023.06.14 14:13:18,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=78&page=1,기타 혐오,0.34113621711730957,0.4364766478538513,0.5455287098884583,0.4550721049308777,0.36272525787353516,0.5083950757980347,0.3188028037548065,0.5626115798950195,0.5323396325111389,0.48472633957862854,0.4644949436187744
솔직히 수일이 더 좋은거 같으면 개추ㅋㅋ,,ㅈㄱㄴ,"ㅇㅇ(121.125) 2023.04.20 23:44:37
조회 818 추천 23 댓글 2",추천 23,조회 818,2023.04.20 23:44:37,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=75&page=1,지역,0.33225366473197937,0.4113144278526306,0.4118347764015198,0.49770957231521606,0.36936867237091064,0.5684393644332886,0.4824345111846924,0.5661018490791321,0.5504903793334961,0.36337101459503174,0.4751240611076355
이런갤이 있는지도 몰랐네,,ㅋㅋ,"yanyai(122.34) 2023.04.19 22:48:25
조회 214 추천 0 댓글 0",추천 0,조회 214,2023.04.19 22:48:25,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=74&page=1,기타 혐오,0.35595157742500305,0.4288221597671509,0.41096773743629456,0.5112519264221191,0.3664417266845703,0.5435645580291748,0.46213582158088684,0.5963010191917419,0.5671842694282532,0.3322380781173706,0.47468748688697815
60회 졸업생인데,,요즘 새끼들 공부 안하냐?,"ㅇㅇ(223.38) 2023.02.20 17:31:05
조회 578 추천 0 댓글 2",추천 0,조회 578,2023.02.20 17:31:05,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=72&page=1,지역,0.39129140973091125,0.47821497917175293,0.39453262090682983,0.5307174324989319,0.42450201511383057,0.63331538438797,0.4966960847377777,0.5857077836990356,0.5465736985206604,0.36660000681877136,0.5566660761833191
대평써서 미끄러졌는데 인생 족친건가요,,대평중에서 공부로 평타치다가 미끄러진장애인인데 수성고가서 어느정도 할수잇을까요ㅠㅠ? 살아남을수잇나요ㅠㅠ,"대평가고싶은대유평인(112.186) 2023.02.18 01:45:54
조회 651 추천 4 댓글 1",추천 4,조회 651,2023.02.18 01:45:54,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=71&page=1,기타 혐오,0.3628899157047272,0.41025054454803467,0.5746459364891052,0.4430059492588043,0.3124750256538391,0.47281238436698914,0.33986562490463257,0.5996372103691101,0.5358332991600037,0.442364901304245,0.4367457926273346
수성고 요새 서울대 한명도 못보내냐?,,어쩌다 이렇게 떡락함?,"ㅇㅇ(211.48) 2023.01.18 03:44:02
조회 1076 추천 0 댓글 2",추천 0,조회 1076,2023.01.18 03:44:02,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=69&page=1,지역,0.37785595655441284,0.5014427900314331,0.49290990829467773,0.5540169477462769,0.44736751914024353,0.6401980519294739,0.4745402932167053,0.5716322660446167,0.5541893243789673,0.3651292622089386,0.5659114122390747
수성고 문이과 비율,,보통 어느정도인가요 1지망 수성썼는데,"ㅇㅇ(211.234) 2023.01.15 13:06:06
조회 512 추천 0 댓글 1",추천 0,조회 512,2023.01.15 13:06:06,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=68&page=1,지역,0.3565233647823334,0.445982962846756,0.4275434613227844,0.5498108267784119,0.41571927070617676,0.6062450408935547,0.4190370440483093,0.5906146764755249,0.5358396172523499,0.37979719042778015,0.5109504461288452
