페이지,게시글번호,말머리,제목,내용,글쓴이,추천수,조회수,날짜,링크
4,2805,,오늘의 노래 추천 다음번,"https://youtu.be/5xciSoXLk98
이 노래 들었을 때 처음 하기의 노래 들었을 때의  신선한 느낌이 옴


https://youtu.be/L50oVkufzas","Pepsi-Man 2023.04.20 23:51:24
스크랩 조회 148 추천 0 댓글 1",0,148,2023.04.20 23:51:24,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2805&page=4
4,2804,,오늘의 노래 추천,"https://youtu.be/MoHhOp1lhH8

오늘 갔던 카페에서 우연히 들렸던 노래","Pepsi-Man 2023.04.20 23:28:12
스크랩 조회 98 추천 0 댓글 0",0,98,2023.04.20 23:28:12,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2804&page=4
4,2803,,와 명신고 갤러리도 있네 졸업생인데 여기 아직 살아있음?,ㅈㄱㄴ,"ㅇㅇ(223.62) 2023.04.01 21:25:44
스크랩 조회 338 추천 0 댓글 4",0,338,2023.04.01 21:25:44,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2803&page=4
4,2801,,뭐고 우리학교 갤 있노 ㅋㅋ,,"ㅇㅇ(58.120) 2023.03.23 00:54:46
스크랩 조회 398 추천 0 댓글 3",0,398,2023.03.23 00:54:46,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2801&page=4
4,2800,,명신고등학교 분위기 어떤가요..??,"중3이고 내년에 어디갈까 생각중입니다
특히 올해 졸업생분들 입결이랑 올해 고3 형님들 분위기..? 같은거 알고 싶습니다..!
대답해주시면 많이 감사하겠습니다..!

아 그리고 생기부 잘 챙겨주나요?","ㅇㅇ(211.251) 2023.03.22 11:17:53
스크랩 조회 781 추천 0 댓글 8",0,781,2023.03.22 11:17:53,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2800&page=4
4,2799,,제기랄 또 노무현이야,ㅖㅏ,"ㅇㅇ(49.174) 2023.03.21 23:38:08
스크랩 조회 245 추천 0 댓글 0",0,245,2023.03.21 23:38:08,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2799&page=4
4,2798,,오늘의 노래 추천,"https://youtu.be/fmqbIi23QSw
재밌음","Pepsi-Man 2023.03.11 01:48:02
스크랩 조회 133 추천 0 댓글 0",0,133,2023.03.11 01:48:02,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2798&page=4
4,2797,,갤러리 살리기 운동,- dc official App,"[드레젠] 2023.03.07 22:50:21
스크랩 조회 277 추천 1 댓글 2",1,277,2023.03.07 22:50:21,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2797&page=4
4,2796,,반갑습니노,ㅇ1ㄱ1야,"ㅇㅇ(223.62) 2023.03.05 15:31:27
스크랩 조회 243 추천 7 댓글 0",7,243,2023.03.05 15:31:27,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2796&page=4
4,2795,,반갑다 이기들아,신입생이다 잘부탁하노 ㅋㅋ,"ㅇㅇ(1.254) 2023.03.03 00:04:29
스크랩 조회 542 추천 6 댓글 4",6,542,2023.03.03 00:04:29,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2795&page=4
4,2794,,졸업생 질문 있어요,"지금 동아리들 뭐뭐 있어요?
졸업한지 하도 오래돼서 많이 바뀌었을 것 같긴 한데..

마술/과학실험/보드게임 이런 동아리들 남아있는지 궁금
- dc official App","ㅇㅇ(223.38) 2023.03.02 02:55:24
스크랩 조회 339 추천 0 댓글 10",0,339,2023.03.02 02:55:24,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2794&page=4
4,2793,,ㅅㅂ 내가 좋아하덛 아티스트 홍대병 주제 됐네,딴놈 찾아야 겠너,"Pepsi-Man 2023.02.26 05:55:32
스크랩 조회 239 추천 0 댓글 1",0,239,2023.02.26 05:55:32,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2793&page=4
4,2792,,학교돈으로 출장 댕꿀잼이네,"홍낄낄
- dc official App","예상왕김예상 2023.02.24 10:57:36
스크랩 조회 300 추천 0 댓글 1",0,300,2023.02.24 10:57:36,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2792&page=4
4,2791,,오늘의 노래 추천,"https://youtu.be/Dqlr8EDunCM

자막 있음","Pepsi-Man 2023.02.17 00:47:05
스크랩 조회 119 추천 1 댓글 0",1,119,2023.02.17 00:47:05,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2791&page=4
4,2790,,명신고 졸업생 소신발언,자~~~알 놀다 갑니다~~~ 12학년 게이들아 공부 ㅈ빠지게 하그라,"흐에(223.38) 2023.02.08 23:05:43
스크랩 조회 423 추천 1 댓글 1",1,423,2023.02.08 23:05:43,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2790&page=4
