제목,말머리,내용,글쓴이,추천수,조회수,날짜,링크,내용_score_여성/가족,내용_score_남성,내용_score_성소수자,내용_score_인종/국적,내용_score_연령,내용_score_지역,내용_score_종교,내용_score_기타 혐오,내용_score_악플/욕설,내용_score_clean,내용_score_장애
야이씨발련들아 나 동안고 원동민이다,,"백운고 1학년6반 씨발새끼들아 싸지 함 뜨자보지털도 못 추리게 만들어줄게 이개씨발푸씨들아
7월19일에 바이크 탄 나시보면 난줄 알아라","백갤러(125.178) 2024.07.15 00:57:17
조회 157 추천 2 댓글 1",추천 2,조회 157,2024.07.15 00:57:17,https://gall.dcinside.com/mini/board/view/?id=phsfanclub&no=223&page=1,0.07718466967344284,0.02183188498020172,0.02314945124089718,0.01113179698586464,0.006594724487513304,0.004369993694126606,0.0069719417952001095,0.047271259129047394,0.7976983785629272,0.03726973384618759,0.005158771760761738
백운고 브롤 유저 봐라,,백운고 클럽에 상남자의 자질이라는 닉달고 브롤볼 크로우들고 5800딜 쳐 넣는 고@r유저는 자진해서 운지하세요,"ㅇㅇ(119.193) 2024.07.09 12:03:29
조회 78 추천 0 댓글 0",추천 0,조회 78,2024.07.09 12:03:29,https://gall.dcinside.com/mini/board/view/?id=phsfanclub&no=222&page=1,0.11738560348749161,0.1742890179157257,0.1389474868774414,0.007326338905841112,0.015257732942700386,0.005285391118377447,0.00298107392154634,0.02255260944366455,0.0978882685303688,0.1404949277639389,0.007771908771246672
집가고싶다,,- dc official App,"바른공부전용자습관 2024.05.31 18:37:31
조회 56 추천 0 댓글 0",추천 0,조회 56,2024.05.31 18:37:31,https://gall.dcinside.com/mini/board/view/?id=phsfanclub&no=220&page=1,0.012841418385505676,0.007844464853405952,0.009920693002641201,0.017234547063708305,0.00868525542318821,0.00734416488558054,0.01353029627352953,0.00821048952639103,0.05770694836974144,0.9080140590667725,0.006885179318487644
10출 300환 개꿀이다 친구포10콩 꽁짱,,,"백갤러(193.36) 2024.05.30 21:59:41
조회 71 추천 0 댓글 0",추천 0,조회 71,2024.05.30 21:59:41,https://gall.dcinside.com/mini/board/view/?id=phsfanclub&no=219&page=1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
어 나 졸업생인데,,"예아
- dc official App","바른공부전용자습관 2024.04.27 09:39:07
조회 92 추천 0 댓글 0",추천 0,조회 92,2024.04.27 09:39:07,https://gall.dcinside.com/mini/board/view/?id=phsfanclub&no=217&page=1,0.014967451803386211,0.008355881087481976,0.010359534062445164,0.017364921048283577,0.008241692557930946,0.0070312912575900555,0.013600822538137436,0.008336767554283142,0.0523311048746109,0.9109705686569214,0.006838963367044926
신입 백붕이들에게 한마디,,"여기가 내신 그나마 쉽다고 말 들어서 왔을거임
근데 결국 공부는 결국 자신과의 싸움이라
본인처럼 탭 받고 갤질이나 하고 있으면 공부 망하는 거임
공부 습관은 중학교에서 크게 변하지 않을 거고
결국 2년뒤에는 후회만 남고 본인처럼 정시전사나 하고 있을거임
아무튼 이렇게 안되려면 마음 독하게 먹고
탭으로 디시 보지 마셈
이상","ㅇㅇ(61.77) 2024.03.04 13:00:07
조회 77 추천 1 댓글 0",추천 1,조회 77,2024.03.04 13:00:07,https://gall.dcinside.com/mini/board/view/?id=phsfanclub&no=216&page=1,0.08644839376211166,0.017432305961847305,0.010818658396601677,0.004702206701040268,0.010367021895945072,0.0028975768946111202,0.0051165297627449036,0.01989438198506832,0.2890344262123108,0.5002062320709229,0.005455550737679005
본사람 댓글좀 달아주세요형들…,,- dc official App,"ㅇㅇ(211.234) 2024.01.30 22:21:27
조회 77 추천 0 댓글 1",추천 0,조회 77,2024.01.30 22:21:27,https://gall.dcinside.com/mini/board/view/?id=phsfanclub&no=215&page=1,0.012841418385505676,0.007844464853405952,0.009920693002641201,0.017234547063708305,0.00868525542318821,0.00734416488558054,0.01353029627352953,0.00821048952639103,0.05770694836974144,0.9080140590667725,0.006885179318487644
08인데 안녕하세요 형들,,- dc official App,"ㅇㅇ(180.69) 2024.01.28 04:05:44
조회 109 추천 0 댓글 0",추천 0,조회 109,2024.01.28 04:05:44,https://gall.dcinside.com/mini/board/view/?id=phsfanclub&no=214&page=1,0.012841418385505676,0.007844464853405952,0.009920693002641201,0.017234547063708305,0.00868525542318821,0.00734416488558054,0.01353029627352953,0.00821048952639103,0.05770694836974144,0.9080140590667725,0.006885179318487644
여기 이제 아무도 안들어오는구나,,ㅋㅋ,"닉네임뭐하노 2023.02.24 15:45:26
조회 193 추천 0 댓글 2",추천 0,조회 193,2023.02.24 15:45:26,https://gall.dcinside.com/mini/board/view/?id=phsfanclub&no=209&page=1,0.016486002132296562,0.010592150501906872,0.01233817357569933,0.017572669312357903,0.013425854966044426,0.009626394137740135,0.01754600740969181,0.009104637429118156,0.03704880177974701,0.94118732213974,0.009530629962682724
신입생 백붕이들아 반갑다,,다른 건 다 괜찮은데 4층 복도에서 좀만 조용히 해라,"ㅇㅇ(223.38) 2023.02.22 13:28:48
조회 84 추천 1 댓글 0",추천 1,조회 84,2023.02.22 13:28:48,https://gall.dcinside.com/mini/board/view/?id=phsfanclub&no=208&page=1,0.013771174475550652,0.009308390319347382,0.012347249314188957,0.015696370974183083,0.012167224660515785,0.008772199042141438,0.01425391435623169,0.00810252409428358,0.04414789006114006,0.9268419146537781,0.008152477443218231
